gen,2,16,"commanded",kt,command
gen,2,17,"knowledge",other,know
gen,2,17,"good",kt,good
gen,2,17,"evil",kt,evil
gen,2,17,"day",other,biblicaltimeday
gen,2,17,"die",other,death
gen,2,18,"Yahweh God",kt,lordyahweh
gen,2,18,"good",kt,good
gen,2,19,"ground",other,earth
gen,2,19,"Yahweh God",kt,lordyahweh
gen,2,19,"sky",kt,heaven
gen,2,19,"called",kt,call
gen,2,19,"living",kt,life
gen,2,19,"creature",other,creature
gen,2,19,"name",kt,name
gen,2,20,"names",kt,name
gen,2,20,"livestock",other,livestock
gen,2,20,"sky",kt,heaven
gen,2,20,"beast",other,beast
gen,2,21,"Yahweh God",kt,lordyahweh
gen,2,21,"sleep",other,sleep
gen,2,21,"slept",other,sleep
gen,2,21,"flesh",kt,flesh
gen,2,22,"Yahweh God",kt,lordyahweh
gen,2,23,"time",other,time
gen,2,23,"flesh",kt,flesh
gen,2,23,"called",kt,call
gen,2,24,"leave",kt,forsaken
gen,2,24,"flesh",kt,flesh
gen,2,25,"ashamed",other,shame
gen,3,1,"shrewd",other,shrewd
gen,3,1,"beast",other,beast
gen,3,1,"Yahweh God",kt,lordyahweh
gen,3,2,"serpent",other,serpent
gen,3,2,"fruit",other,fruit
gen,3,3,"die",other,death
gen,3,4,"serpent",other,serpent
gen,3,4,"die",other,death
gen,3,5,"knows",other,know
gen,3,5,"day",other,biblicaltimeday
gen,3,5,"knowing",other,know
gen,3,5,"good",kt,good
gen,3,5,"evil",kt,evil
gen,3,6,"saw",other,know
gen,3,6,"good",kt,good
gen,3,6,"delight",other,delight
gen,3,6,"wise",kt,wise
gen,3,6,"fruit",other,fruit
gen,3,7,"knew",other,know
gen,3,7,"fig",other,fig
gen,3,8,"heard",other,obey
gen,3,8,"sound",other,voice
gen,3,8,"Yahweh God",kt,lordyahweh
gen,3,8,"walking",other,walk
gen,3,8,"day",other,biblicaltimeday
gen,3,8,"presence",other,face
gen,3,9,"Yahweh God",kt,lordyahweh
gen,3,9,"called",kt,call
gen,3,10,"heard",other,obey
gen,3,10,"afraid",kt,fear
gen,3,11,"told",other,report
gen,3,11,"commanded",kt,command
gen,3,13,"Yahweh God",kt,lordyahweh
gen,3,13,"serpent",other,serpent
gen,3,14,"Yahweh God",kt,lordyahweh
gen,3,14,"serpent",other,serpent
gen,3,14,"cursed",kt,curse
gen,3,14,"livestock",other,livestock
gen,3,14,"beasts",other,beast
gen,3,14,"dust",other,ash
gen,3,14,"days",other,biblicaltimeday
gen,3,15,"seed",other,seed
gen,3,15,"head",other,head
gen,3,16,"multiply",other,multiply
gen,3,16,"children",kt,children
gen,3,16,"rule",other,ruler
gen,3,17,"listened to",other,obey
gen,3,17,"voice",other,voice
gen,3,17,"commanded",kt,command
gen,3,17,"cursed",kt,curse
gen,3,17,"ground",other,earth
gen,3,17,"days",other,biblicaltimeday
gen,3,17,"life",kt,life
gen,3,18,"thorns",other,thorn
gen,3,18,"thistles",other,thorn
gen,3,19,"face",other,face
gen,3,19,"bread",other,bread
gen,3,19,"return",other,return
gen,3,19,"ground",other,earth
gen,3,19,"dust",other,ash
gen,3,20,"called",kt,call
gen,3,20,"name",kt,name
gen,3,20,"Eve",names,eve
gen,3,20,"living",kt,life
gen,3,21,"Yahweh God",kt,lordyahweh
gen,3,21,"Adam",names,adam
gen,3,21,"garments",other,clothed
gen,3,22,"Yahweh God",kt,lordyahweh
gen,3,22,"knowing",other,know
gen,3,22,"good",kt,good
gen,3,22,"evil",kt,evil
gen,3,22,"hand",other,hand
gen,3,22,"life",kt,life
gen,3,22,"live",kt,life
gen,3,22,"forever",kt,eternity
gen,3,23,"Yahweh God",kt,lordyahweh
gen,3,23,"sent",other,send
gen,3,23,"garden of Eden",names,eden
gen,3,23,"ground",other,earth
gen,3,24,"drove ... out",other,castout
gen,3,24,"cherubim",other,cherubim
gen,3,24,"garden of Eden",names,eden
gen,3,24,"sword",other,sword
gen,3,24,"turned",other,turn
gen,3,24,"guard",other,watch
gen,3,24,"life",kt,life
gen,4,1,"knew",other,know
gen,4,1,"Eve",names,eve
gen,4,1,"conceived",other,conceive
gen,4,1,"Cain",names,cain
gen,4,1,"Yahweh",kt,yahweh
gen,4,2,"brother",kt,brother
gen,4,2,"Abel",names,abel
gen,4,2,"shepherd",other,shepherd
gen,4,2,"Cain",names,cain
gen,4,3,"time",other,time
gen,4,3,"Cain",names,cain
gen,4,3,"fruit",other,fruit
gen,4,3,"ground",other,earth
gen,4,3,"offering",other,sacrifice
gen,4,3,"Yahweh",kt,yahweh
gen,4,4,"Abel",names,abel
gen,4,4,"firstborn",other,firstborn
gen,4,4,"flock",other,flock
gen,4,4,"Yahweh",kt,yahweh
gen,4,4,"offering",other,sacrifice
gen,4,5,"Cain",names,cain
gen,4,5,"offering",other,sacrifice
gen,4,5,"angry",other,angry
gen,4,6,"Yahweh",kt,yahweh
gen,4,6,"Cain",names,cain
gen,4,6,"angry",other,angry
gen,4,7,"sin",kt,sin
gen,4,7,"control",kt,dominion
gen,4,8,"Cain",names,cain
gen,4,8,"Abel",names,abel
gen,4,8,"brother",kt,brother
gen,4,8,"rose",other,raise
gen,4,8,"killed",other,slain
gen,4,9,"Yahweh",kt,yahweh
gen,4,9,"Cain",names,cain
gen,4,9,"Abel",names,abel
gen,4,9,"brother",kt,brother
gen,4,9,"know",other,know
gen,4,10,"brother",kt,brother
gen,4,10,"blood",kt,blood
gen,4,10,"calling out",other,cry
